Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Region3Hebei_to_Qinshui_CO2_Injection,Region3Hebei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,5713863.710625,0,171415.91131875,0.08,40,20,0,co2_transported_Region3Hebei_to_Qinshui,co2_storage_Qinshui
CO2Injection,Region8Heilongjiang_to_Hailar_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,42735569.38875,0,1282067.0816625,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Hailar,co2_storage_Hailar
CO2Injection,Region8Heilongjiang_to_Sanjiang_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,18376.218786713285,0,551.2865636013985,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Sanjiang,co2_storage_Sanjiang
CO2Injection,Region8Heilongjiang_to_Songliao_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1880221.48875,0,56406.644662499995,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Songliao,co2_storage_Songliao
CO2Injection,Region16Henan_to_Hehuai_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,293230.85901536315,0,8796.925770460894,0.08,40,20,0,co2_transported_Region16Henan_to_Hehuai,co2_storage_Hehuai
CO2Injection,Region16Henan_to_Nanxiang_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,66268.37905619112,0,1988.0513716857333,0.08,40,20,0,co2_transported_Region16Henan_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region16Henan_to_Qinshui_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,5713863.710625,0,171415.91131875,0.08,40,20,0,co2_transported_Region16Henan_to_Qinshui,co2_storage_Qinshui
CO2Injection,Region17Hubei_to_Hehuai_CO2_Injection,Region17Hubei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,293230.85901536315,0,8796.925770460894,0.08,40,20,0,co2_transported_Region17Hubei_to_Hehuai,co2_storage_Hehuai
CO2Injection,Region17Hubei_to_Jianghan_CO2_Injection,Region17Hubei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,11496621.8784375,0,344898.656353125,0.08,40,20,0,co2_transported_Region17Hubei_to_Jianghan,co2_storage_Jianghan
CO2Injection,Region17Hubei_to_Nanxiang_CO2_Injection,Region17Hubei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,66268.37905619112,0,1988.0513716857333,0.08,40,20,0,co2_transported_Region17Hubei_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region18Hunan_to_Jianghan_CO2_Injection,Region18Hunan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,11496621.8784375,0,344898.656353125,0.08,40,20,0,co2_transported_Region18Hunan_to_Jianghan,co2_storage_Jianghan
CO2Injection,Region5Innermongolia_to_Erlian_CO2_Injection,Region5Innermongolia,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,138958.1042269737,0,4168.7431268092105,0.08,40,20,0,co2_transported_Region5Innermongolia_to_Erlian,co2_storage_Erlian
CO2Injection,Region5Innermongolia_to_Ordos_CO2_Injection,Region5Innermongolia,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,9847481.12775,0,295424.4338325,0.08,40,20,0,co2_transported_Region5Innermongolia_to_Ordos,co2_storage_Ordos
CO2Injection,Region5Innermongolia_to_YingenEjina_CO2_Injection,Region5Innermongolia,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,15793860.5055,0,473815.815165,0.08,40,20,0,co2_transported_Region5Innermongolia_to_YingenEjina,co2_storage_YingenEjina
