zone,Investment,FixedOM,Fuel,VariableOM,Startup,NonServedDemand,Total
Region25Yunnan_bfbofccs_transforms_crudesteel_Region25Yunnan,1935.9164639736118,290.4035858013658,0.0,0.0,0.0,0.0,2226.3200497749776
steelscrap_source_Region25Yunnan_Region25Yunnan_bfbofccs_transforms,0.0,0.0,0.018509251997728193,0.0,0.0,0.0,0.018509251997728193
Region27Shaanxi_bfbofccs_transforms_crudesteel_Region27Shaanxi,2093.1582496611145,313.99116266805186,0.0,0.0,0.0,0.0,2407.1494123291664
steelscrap_source_Region27Shaanxi_Region27Shaanxi_bfbofccs_transforms,0.0,0.0,0.02001263703010138,0.0,0.0,0.0,0.02001263703010138
Region28Gansu_bfbofccs_transforms_crudesteel_Region28Gansu,109.40282722637762,16.411334845582683,0.0,0.0,0.0,0.0,125.81416207196031
steelscrap_source_Region28Gansu_Region28Gansu_bfbofccs_transforms,0.0,0.0,0.001045997870300949,0.0,0.0,0.0,0.001045997870300949
Region29Qinghai_bfbofccs_transforms_crudesteel_Region29Qinghai,2038.1638391532942,305.74154327191195,0.0,0.0,0.0,0.0,2343.905382425206
steelscrap_source_Region29Qinghai_Region29Qinghai_bfbofccs_transforms,0.0,0.0,0.01948683675849955,0.0,0.0,0.0,0.01948683675849955
Region30Ningxia_bfbofccs_transforms_crudesteel_Region30Ningxia,619.5847198759274,92.94286592841159,0.0,0.0,0.0,0.0,712.527585804339
steelscrap_source_Region30Ningxia_Region30Ningxia_bfbofccs_transforms,0.0,0.0,0.005923835004009596,0.0,0.0,0.0,0.005923835004009596
Region31Xinjiang_bfbofccs_transforms_crudesteel_Region31Xinjiang,2114.3886655561996,317.17590179224527,0.0,0.0,0.0,0.0,2431.564567348445
steelscrap_source_Region31Xinjiang_Region31Xinjiang_bfbofccs_transforms,0.0,0.0,0.020215620539530344,0.0,0.0,0.0,0.020215620539530344
Region1Beijing,97718.51119703101,361983.2606077012,0.0,2297.091161993496,70418.98691884469,0.0,532417.8498855704
Region2Tianjin,106196.58584346138,393501.4092341878,0.0,2284.720836979829,71761.65476049235,0.0,573744.3706751213
Region12Anhui,10001.370819019967,1.8789569239260132e9,0.0,1.3742633246113544e6,70665.26929851844,0.0,1.8804118538907423e9
Region9Shanghai,108506.37902152342,401734.54426460416,0.0,2953.9920284090513,71509.03351342656,0.0,584703.9488279632
Region22Chongqing,27048.268637409405,2.0316755350599083e8,0.0,154048.61941337716,72481.70847013066,0.0,2.0342113210251176e8
Region13Fujian,23058.69852386886,2.4108340549219465e8,0.0,178474.49656699703,71912.86063745567,0.0,2.41356851547923e8
Region28Gansu,12344.865785047317,3.493495246875427e9,0.0,2.5660058920542784e6,69370.62141288939,0.0,3.4961429682546787e9
Region19Guangdong,28666.487360072064,4.706360319364639e8,0.0,345185.15472089034,70807.41964976199,0.0,4.7108069099819463e8
Region20Guangxi,11744.998935514508,3.590718371681332e9,0.0,2.6199412938644695e6,70312.30625025781,0.0,3.593420370280382e9
Region24Guizhou,10379.45211705907,1.3640409036103857e9,0.0,994926.9530254954,69282.67555888675,0.0,1.365115492691087e9
Region21Hainan,113970.83501082638,422917.80695543526,0.0,1293.4650859994335,72057.97739602003,0.0,610240.0844482812
Region3Hebei,10687.639035732522,5.99434862951393e7,0.0,45766.73740415064,72428.11103158064,0.0,6.007236878261076e7
Region8Heilongjiang,12759.420003998412,1.750902043262101e8,0.0,131915.84181425476,70983.24383947895,0.0,1.7530586283186784e8
Region16Henan,10629.876415936444,3.466113767316123e9,0.0,2.532367144381755e6,72730.22015808054,0.0,3.4687294945570784e9
Region17Hubei,17636.53951327257,8.457403791362925e8,0.0,621120.3314519888,74681.37245088836,0.0,8.464538173797086e8
Region18Hunan,13369.957117013437,1.2293338116059318e9,0.0,904284.0396832634,71988.1143186117,0.0,1.2303234537170508e9
Region5Innermongolia,10662.308970037197,5.888714571514473e9,0.0,4.2996610283061275e6,69678.94642380853,0.0,5.893094573798173e9
Region10Jiangsu,20088.004939996707,1.5077715539006472e8,0.0,111287.58123060374,70052.94007375157,0.0,1.509785839163091e8
Region14Jiangxi,9611.393523865541,1.8711541278866107e9,0.0,1.3648209132124586e6,70639.75406601783,0.0,1.8725991999474132e9
Region7Jilin,15375.287104771744,9.616050854967357e7,0.0,72950.1195872408,70156.90423422847,0.0,9.631899086059982e7
Region6Liaoning,21534.46066186138,6.44145209122177e8,0.0,473875.06552183244,71729.27578507313,0.0,6.447123479241458e8
Region30Ningxia,18713.32644654207,1.0563511023327641e9,0.0,780940.1733723789,69964.67978694613,0.0,1.05722072051237e9
Region29Qinghai,10109.207181029498,2.1651059770718656e9,0.0,1.5827212773162688e6,71977.10345657947,0.0,2.166770784659819e9
Region27Shaanxi,11985.357839277616,1.443247308746637e9,0.0,1.0593244759713907e6,70332.74383996073,0.0,1.444388951324288e9
Region15Shandong,9786.11314978737,3.339833583645376e9,0.0,2.440889345757031e6,70297.54678143495,0.0,3.3423545566510644e9
Region4Shanxi,15891.810333914435,1.0796194823115242e9,0.0,796603.0066649307,69776.35210776374,0.0,1.0805017534806309e9
Region23Sichuan,18205.35637887164,3.900172153302925e7,0.0,46279.854926772095,70222.03645352826,0.0,3.913642878078842e7
Region26Tibet,11737.41135412472,3.0549020028411658e6,0.0,4404.772633705637,73124.16443287463,0.0,3.1441683512618705e6
Region31Xinjiang,9026.232892618107,6.236188504787844e9,0.0,4.554178663866452e6,70930.89016967377,0.0,6.240822640574773e9
Region25Yunnan,10194.35771132361,5.369382944949142e9,0.0,3.9172978569313353e6,70933.68908994037,0.0,5.373381370852876e9
Region11Zhejiang,26713.667572921044,1.7694104523598644e8,0.0,130529.86170735273,70602.29518952328,0.0,1.7716889106045625e8
cement_Region1Beijing_cement_Region2Tianjin,0.0,0.0,0.0,1030.3348869250888,0.0,0.0,1030.3348869250888
cement_Region1Beijing_cement_Region3Hebei,0.0,0.0,0.0,1063.4928510768582,0.0,0.0,1063.4928510768582
cement_Region1Beijing_cement_Region4Shanxi,0.0,0.0,0.0,1077.9955255348018,0.0,0.0,1077.9955255348018
cement_Region1Beijing_cement_Region5Innermongolia,0.0,0.0,0.0,1098.1567955781316,0.0,0.0,1098.1567955781316
cement_Region1Beijing_cement_Region6Liaoning,0.0,0.0,0.0,1125.859920531767,0.0,0.0,1125.859920531767
cement_Region1Beijing_cement_Region7Jilin,0.0,0.0,0.0,1093.1217148375085,0.0,0.0,1093.1217148375085
cement_Region1Beijing_cement_Region8Heilongjiang,0.0,0.0,0.0,1120.021840070083,0.0,0.0,1120.021840070083
cement_Region1Beijing_cement_Region9Shanghai,0.0,0.0,0.0,1127.2419911413867,0.0,0.0,1127.2419911413867
cement_Region1Beijing_cement_Region10Jiangsu,0.0,0.0,0.0,1109.5972989209636,0.0,0.0,1109.5972989209636
cement_Region1Beijing_cement_Region11Zhejiang,0.0,0.0,0.0,1128.2846257908095,0.0,0.0,1128.2846257908095
cement_Region1Beijing_cement_Region12Anhui,0.0,0.0,0.0,1092.8672332322674,0.0,0.0,1092.8672332322674
cement_Region1Beijing_cement_Region13Fujian,0.0,0.0,0.0,1128.7324071773255,0.0,0.0,1128.7324071773255
cement_Region1Beijing_cement_Region14Jiangxi,0.0,0.0,0.0,1100.6854326688253,0.0,0.0,1100.6854326688253
cement_Region1Beijing_cement_Region15Shandong,0.0,0.0,0.0,1082.0278073363627,0.0,0.0,1082.0278073363627
cement_Region1Beijing_cement_Region16Henan,0.0,0.0,0.0,1080.220250830554,0.0,0.0,1080.220250830554
cement_Region1Beijing_cement_Region17Hubei,0.0,0.0,0.0,1103.9412650721451,0.0,0.0,1103.9412650721451
cement_Region1Beijing_cement_Region18Hunan,0.0,0.0,0.0,1114.3067388064435,0.0,0.0,1114.3067388064435
cement_Region1Beijing_cement_Region19Guangdong,0.0,0.0,0.0,1413.2487721622147,0.0,0.0,1413.2487721622147
cement_Region1Beijing_cement_Region20Guangxi,0.0,0.0,0.0,1127.0790948039078,0.0,0.0,1127.0790948039078
cement_Region1Beijing_cement_Region21Hainan,0.0,0.0,0.0,1126.4155776190744,0.0,0.0,1126.4155776190744
cement_Region1Beijing_cement_Region22Chongqing,0.0,0.0,0.0,1114.8920451476654,0.0,0.0,1114.8920451476654
cement_Region1Beijing_cement_Region23Sichuan,0.0,0.0,0.0,1117.780250052102,0.0,0.0,1117.780250052102
cement_Region1Beijing_cement_Region24Guizhou,0.0,0.0,0.0,1115.1337022558234,0.0,0.0,1115.1337022558234
cement_Region1Beijing_cement_Region25Yunnan,0.0,0.0,0.0,1089.9160034965284,0.0,0.0,1089.9160034965284
cement_Region1Beijing_cement_Region27Shaanxi,0.0,0.0,0.0,1101.0397788011767,0.0,0.0,1101.0397788011767
cement_Region1Beijing_cement_Region28Gansu,0.0,0.0,0.0,1108.1017920818913,0.0,0.0,1108.1017920818913
cement_Region1Beijing_cement_Region29Qinghai,0.0,0.0,0.0,1115.201348401833,0.0,0.0,1115.201348401833
cement_Region1Beijing_cement_Region30Ningxia,0.0,0.0,0.0,1097.9300133619497,0.0,0.0,1097.9300133619497
cement_Region1Beijing_cement_Region31Xinjiang,0.0,0.0,0.0,1114.9975897991244,0.0,0.0,1114.9975897991244
cement_Region2Tianjin_cement_Region1Beijing,0.0,0.0,0.0,1438.530890947727,0.0,0.0,1438.530890947727
cement_Region2Tianjin_cement_Region3Hebei,0.0,0.0,0.0,1083.7887379239635,0.0,0.0,1083.7887379239635
cement_Region2Tianjin_cement_Region4Shanxi,0.0,0.0,0.0,1118.2538588886955,0.0,0.0,1118.2538588886955
cement_Region2Tianjin_cement_Region5Innermongolia,0.0,0.0,0.0,1142.6240259659562,0.0,0.0,1142.6240259659562
cement_Region2Tianjin_cement_Region6Liaoning,0.0,0.0,0.0,1161.5983211272662,0.0,0.0,1161.5983211272662
cement_Region2Tianjin_cement_Region7Jilin,0.0,0.0,0.0,1127.3466466816985,0.0,0.0,1127.3466466816985
cement_Region2Tianjin_cement_Region8Heilongjiang,0.0,0.0,0.0,1148.6027691645834,0.0,0.0,1148.6027691645834
cement_Region2Tianjin_cement_Region9Shanghai,0.0,0.0,0.0,1159.6747607071352,0.0,0.0,1159.6747607071352
cement_Region2Tianjin_cement_Region10Jiangsu,0.0,0.0,0.0,1144.5538047705206,0.0,0.0,1144.5538047705206
cement_Region2Tianjin_cement_Region11Zhejiang,0.0,0.0,0.0,1157.9743021724676,0.0,0.0,1157.9743021724676
cement_Region2Tianjin_cement_Region12Anhui,0.0,0.0,0.0,1124.16509024791,0.0,0.0,1124.16509024791
cement_Region2Tianjin_cement_Region13Fujian,0.0,0.0,0.0,1149.1086590450404,0.0,0.0,1149.1086590450404
cement_Region2Tianjin_cement_Region14Jiangxi,0.0,0.0,0.0,1123.556197623225,0.0,0.0,1123.556197623225
cement_Region2Tianjin_cement_Region15Shandong,0.0,0.0,0.0,1087.740374895321,0.0,0.0,1087.740374895321
cement_Region2Tianjin_cement_Region16Henan,0.0,0.0,0.0,1119.988875805773,0.0,0.0,1119.988875805773
cement_Region2Tianjin_cement_Region17Hubei,0.0,0.0,0.0,1132.2304210487766,0.0,0.0,1132.2304210487766
cement_Region2Tianjin_cement_Region18Hunan,0.0,0.0,0.0,1136.938887974508,0.0,0.0,1136.938887974508
cement_Region2Tianjin_cement_Region19Guangdong,0.0,0.0,0.0,1456.2004341965505,0.0,0.0,1456.2004341965505
cement_Region2Tianjin_cement_Region20Guangxi,0.0,0.0,0.0,1141.501345390826,0.0,0.0,1141.501345390826
cement_Region2Tianjin_cement_Region21Hainan,0.0,0.0,0.0,1139.3577315693433,0.0,0.0,1139.3577315693433
cement_Region2Tianjin_cement_Region22Chongqing,0.0,0.0,0.0,1135.715823828969,0.0,0.0,1135.715823828969
cement_Region2Tianjin_cement_Region23Sichuan,0.0,0.0,0.0,1138.3165168554724,0.0,0.0,1138.3165168554724
cement_Region2Tianjin_cement_Region24Guizhou,0.0,0.0,0.0,1132.2774591771374,0.0,0.0,1132.2774591771374
cement_Region2Tianjin_cement_Region25Yunnan,0.0,0.0,0.0,1103.5692268364583,0.0,0.0,1103.5692268364583
cement_Region2Tianjin_cement_Region27Shaanxi,0.0,0.0,0.0,1134.01654808972,0.0,0.0,1134.01654808972
cement_Region2Tianjin_cement_Region28Gansu,0.0,0.0,0.0,1133.7083118579833,0.0,0.0,1133.7083118579833
cement_Region2Tianjin_cement_Region29Qinghai,0.0,0.0,0.0,1137.628387308865,0.0,0.0,1137.628387308865
cement_Region2Tianjin_cement_Region30Ningxia,0.0,0.0,0.0,1132.2198525944789,0.0,0.0,1132.2198525944789
cement_Region2Tianjin_cement_Region31Xinjiang,0.0,0.0,0.0,1127.9497018851418,0.0,0.0,1127.9497018851418
