time,elec_Region1Beijing_seg1,elec_Region1Beijing_seg2,elec_Region1Beijing_seg3,elec_Region1Beijing_seg4,elec_Region2Tianjin_seg1,elec_Region2Tianjin_seg2,elec_Region2Tianjin_seg3,elec_Region2Tianjin_seg4,elec_Region3Hebei_seg1,elec_Region3Hebei_seg2,elec_Region3Hebei_seg3,elec_Region3Hebei_seg4,elec_Region4Shanxi_seg1,elec_Region4Shanxi_seg2,elec_Region4Shanxi_seg3,elec_Region4Shanxi_seg4,elec_Region5Innermongolia_seg1,elec_Region5Innermongolia_seg2,elec_Region5Innermongolia_seg3,elec_Region5Innermongolia_seg4,elec_Region6Liaoning_seg1,elec_Region6Liaoning_seg2,elec_Region6Liaoning_seg3,elec_Region6Liaoning_seg4,elec_Region7Jilin_seg1,elec_Region7Jilin_seg2,elec_Region7Jilin_seg3,elec_Region7Jilin_seg4,elec_Region8Heilongjiang_seg1,elec_Region8Heilongjiang_seg2,elec_Region8Heilongjiang_seg3,elec_Region8Heilongjiang_seg4,elec_Region9Shanghai_seg1,elec_Region9Shanghai_seg2,elec_Region9Shanghai_seg3,elec_Region9Shanghai_seg4,elec_Region10Jiangsu_seg1,elec_Region10Jiangsu_seg2,elec_Region10Jiangsu_seg3,elec_Region10Jiangsu_seg4,elec_Region11Zhejiang_seg1,elec_Region11Zhejiang_seg2,elec_Region11Zhejiang_seg3,elec_Region11Zhejiang_seg4,elec_Region12Anhui_seg1,elec_Region12Anhui_seg2,elec_Region12Anhui_seg3,elec_Region12Anhui_seg4,elec_Region13Fujian_seg1,elec_Region13Fujian_seg2,elec_Region13Fujian_seg3,elec_Region13Fujian_seg4,elec_Region14Jiangxi_seg1,elec_Region14Jiangxi_seg2,elec_Region14Jiangxi_seg3,elec_Region14Jiangxi_seg4,elec_Region15Shandong_seg1,elec_Region15Shandong_seg2,elec_Region15Shandong_seg3,elec_Region15Shandong_seg4,elec_Region16Henan_seg1,elec_Region16Henan_seg2,elec_Region16Henan_seg3,elec_Region16Henan_seg4,elec_Region17Hubei_seg1,elec_Region17Hubei_seg2,elec_Region17Hubei_seg3,elec_Region17Hubei_seg4,elec_Region18Hunan_seg1,elec_Region18Hunan_seg2,elec_Region18Hunan_seg3,elec_Region18Hunan_seg4,elec_Region19Guangdong_seg1,elec_Region19Guangdong_seg2,elec_Region19Guangdong_seg3,elec_Region19Guangdong_seg4,elec_Region20Guangxi_seg1,elec_Region20Guangxi_seg2,elec_Region20Guangxi_seg3,elec_Region20Guangxi_seg4,elec_Region21Hainan_seg1,elec_Region21Hainan_seg2,elec_Region21Hainan_seg3,elec_Region21Hainan_seg4,elec_Region22Chongqing_seg1,elec_Region22Chongqing_seg2,elec_Region22Chongqing_seg3,elec_Region22Chongqing_seg4,elec_Region23Sichuan_seg1,elec_Region23Sichuan_seg2,elec_Region23Sichuan_seg3,elec_Region23Sichuan_seg4,elec_Region24Guizhou_seg1,elec_Region24Guizhou_seg2,elec_Region24Guizhou_seg3,elec_Region24Guizhou_seg4,elec_Region25Yunnan_seg1,elec_Region25Yunnan_seg2,elec_Region25Yunnan_seg3,elec_Region25Yunnan_seg4,elec_Region26Tibet_seg1,elec_Region26Tibet_seg2,elec_Region26Tibet_seg3,elec_Region26Tibet_seg4,elec_Region27Shaanxi_seg1,elec_Region27Shaanxi_seg2,elec_Region27Shaanxi_seg3,elec_Region27Shaanxi_seg4,elec_Region28Gansu_seg1,elec_Region28Gansu_seg2,elec_Region28Gansu_seg3,elec_Region28Gansu_seg4,elec_Region29Qinghai_seg1,elec_Region29Qinghai_seg2,elec_Region29Qinghai_seg3,elec_Region29Qinghai_seg4,elec_Region30Ningxia_seg1,elec_Region30Ningxia_seg2,elec_Region30Ningxia_seg3,elec_Region30Ningxia_seg4,elec_Region31Xinjiang_seg1,elec_Region31Xinjiang_seg2,elec_Region31Xinjiang_seg3,elec_Region31Xinjiang_seg4
1,0.008973222985710337,0.005331060354494519,0.006970192242127996,0.012229035888575584,0.008780269382266828,0.004853295077819641,0.006581841184778617,0.011981427009702473,0.01035263236988549,0.008015725933303615,0.009349715367747624,0.01393171010040405,0.0098676739708932,0.0068890770545138435,0.008273819942161942,0.013196229066131847,0.010125103207445264,0.00786706320779015,0.009183403165062574,0.013849555569922059,0.010677340518341287,0.007063053758823358,0.008433601277167234,0.013236201449874993,0.008505065909068025,0.004793669637115602,0.0065138741215999,0.01193441851886744,0.008709205636630163,0.005098283939194094,0.006771837295407433,0.012100054980255242,0.009631349381770208,0.005967833332385204,0.007491449800211059,0.01258986551614697,0.010638607193582674,0.009532230743475575,0.012465327656402618,0.016114723035846573,0.010612970281080781,0.00898880220974226,0.010837786338448861,0.01496164771818705,0.009946422114795682,0.006976325938985385,0.00835553371746637,0.013254466827171562,0.010520758057647905,0.006901775162179837,0.008294665663978273,0.013141213212903466,0.009378285748583369,0.005907902815914474,0.007434116384223991,0.012545880292284841,0.010605114478253071,0.009432714321238466,0.012154634656361726,0.01587578931611545,0.009953304581137072,0.00730436802852095,0.008647377469036216,0.013489428149103448,0.00960680786051449,0.006430931805104953,0.007876687010196738,0.012896326140130879,0.009629207309342795,0.0063753412406436635,0.00784299002114314,0.012923265191702105,0.010558874417049382,0.009284893363746454,0.011743260463155773,0.015627898657263786,0.01064243856727226,0.006878098524770246,0.008268753516531521,0.013222855390318424,0.008128895349867497,0.0041190437903222505,0.005793265792701194,0.01174031958212742,0.009049563078654326,0.005457632006427008,0.007078620753637284,0.012386130315697184,0.010208676099147603,0.007735673134927553,0.009064291856695205,0.013857265259920986,0.00953976504472781,0.0061502356872845726,0.007648378420118658,0.012791939243181703,0.009639921951321127,0.006287818164467236,0.007769414566565551,0.012897886325066629,0.005628309452510261,0.0035210858829026028,0.004904020210083324,0.012197643443411359,0.009783433210288598,0.006780163328685258,0.008183152221619434,0.013124360586446083,0.009432837522102765,0.00596753951220338,0.007488577627885365,0.012623122335765022,0.008809665395080464,0.005065279238553927,0.006760078339142747,0.012135053004842553,0.009249094783113532,0.005684507820466582,0.007253165867662755,0.012452915859384149,0.01005785465577502,0.007969868928374877,0.009297924754882359,0.013973356069850036
2,0.00887235458705448,0.005175347249451619,0.006845977062423363,0.012123227104308998,0.008792978389059155,0.004858618026707932,0.006583308252888275,0.011954630886354466,0.010367304988204646,0.007689424819989818,0.009002169413336467,0.01365024492530194,0.009804631286098117,0.006833656680238736,0.008221722630694175,0.013129767612961989,0.010144470012787888,0.007850989081401173,0.009161678024066184,0.013805322526908914,0.01068150663124888,0.007044040759811205,0.008414906633623098,0.01320133044612226,0.008512006738541885,0.004786864607129784,0.006507379545632397,0.011916102236950384,0.00873987561282135,0.005117209903405287,0.006788605109481525,0.012092092868013533,0.009556849038258963,0.0058521955871679646,0.007395604855463035,0.012502645680416747,0.010655636075138572,0.009527550728180791,0.012449370093668841,0.016091978386581732,0.010652341868864088,0.00890919116381175,0.010662336251633282,0.014810497251637064,0.009900472757213908,0.006837271990466192,0.00822911679844177,0.013133173348577856,0.010431332772294,0.006767508108062385,0.008175305355542128,0.013031983058634584,0.00934363293557094,0.005865778302227692,0.007371216185772713,0.01229771333786427,0.010635252186434798,0.0094302743935143,0.012154996161050651,0.015846536936377796,0.009981874428007565,0.007351056168947765,0.008684231046081568,0.01348174305829715,0.009577584896375217,0.006347941398882256,0.00780256523049163,0.012805619634656132,0.009618660148504498,0.006344112122661714,0.0078120167189460014,0.01286103066176906,0.010569842925393015,0.009218681931677089,0.011558781104542915,0.01541487966951124,0.010645849869376152,0.006836037983640913,0.008225594513088767,0.013121135990885902,0.008072529851578476,0.00408711603347509,0.005745364358296312,0.011674842042045795,0.009030076709373428,0.005420000661352316,0.0070420076081422695,0.01229174682512614,0.010241523181101822,0.007703011349357187,0.009038189362703442,0.013842281113995132,0.009516051030461603,0.006099499001336874,0.00759743688755462,0.012688693965513568,0.009621002331279077,0.006246192390013195,0.00772858038594085,0.012821827070239482,0.005618020850361666,0.0035140497340007404,0.004897003331706475,0.012255474662366747,0.009796106228961293,0.00677468642560285,0.00817695831495126,0.013088880923635266,0.009441071421792109,0.005968955200323842,0.007487991752543662,0.012588619055055171,0.008813106783035709,0.005066073350100932,0.006759604911500148,0.012102768004177653,0.009265298809238294,0.00569031099024704,0.007255834451261717,0.01242234569876626,0.010095589592390704,0.007977232085056397,0.009304967510879452,0.01395045468354606
3,0.00880374781240304,0.005124313022310899,0.006742673579845767,0.011625923777456568,0.008710959897500523,0.0047914036764540495,0.006466725041546074,0.011464736978293096,0.0102756253559538,0.007637498640666383,0.008886202911817138,0.013115768230121881,0.009756497981539655,0.0068380898295635475,0.008159083274435354,0.012640753069533633,0.010084400782643277,0.00777927840309476,0.009025585905033988,0.013255071701390758,0.01061596572575727,0.006990417396315078,0.008298278877105807,0.012662834349424583,0.008454399785232823,0.004744171244534422,0.006412628445991345,0.011436460225286663,0.008726294290802766,0.005062700795853116,0.006680373782171146,0.011592372925942125,0.00932426905606237,0.005591779849145341,0.007111391281104033,0.011849308572699986,0.010580754085173866,0.009396566574303405,0.012125854026779325,0.015324098683822453,0.010578920897227069,0.008762036655666532,0.01037575312095241,0.014089032417494247,0.009814626913011056,0.006731206168392545,0.00806841778507398,0.012569055519094402,0.01027978722597217,0.00661744630160165,0.007973928414999904,0.01242720844396964,0.009296564787635877,0.005815818318083399,0.00729171419161631,0.011984673565984505,0.010591385439234876,0.009348579639229413,0.011984604085019572,0.015209263442935227,0.009894367012292538,0.007219079148672603,0.008499701191933521,0.0128846409581981,0.009463458828124117,0.006201197943334034,0.007609648837636089,0.012218368793709428,0.009530754464071771,0.006267462714737675,0.007668441116420376,0.01224686141087862,0.010491553468292,0.009068237818828375,0.011201448150597761,0.014623853568671755,0.010550573580921294,0.006738216788990215,0.008063630712965739,0.01249312592042929,0.007963598581060176,0.004026887658383951,0.00562594315933016,0.011147788411837473,0.008958087951368173,0.005365400008546859,0.0069259966842746615,0.011726832956757065,0.010172179241256782,0.007594212448712623,0.008865365526512535,0.01321618875002491,0.00941609454553215,0.006005301930888057,0.007443309508664106,0.012087385835842547,0.009492789176860073,0.006111016553850685,0.007532305789976961,0.01214801986386774,0.005594972707594256,0.0034972646411011985,0.004865330797043209,0.012039043294662164,0.009725360755463338,0.006707002069368282,0.008049352254492922,0.012538582366150493,0.009367164062314704,0.00591782370409721,0.007374993041909882,0.012040745803407263,0.00873248266057015,0.005012966288475641,0.00664911916814175,0.011566128944548755,0.009197415550541469,0.005639470778370206,0.007144682001124945,0.011884752782105556,0.010035510480420616,0.007893424085052114,0.009150151165877413,0.013331293425570441
4,0.008868561589931318,0.0051805631094587225,0.0067973934342095334,0.011694396089465963,0.008737582681609091,0.004796214648215774,0.0064796061410633534,0.011506357123722881,0.01032684415560539,0.007903198714651118,0.009170822801203186,0.013362746867604533,0.009791693329112793,0.006852580525169272,0.008182152165336534,0.012699994528608455,0.010127090591114116,0.007807710825866709,0.009064973382499456,0.01332752265813349,0.010649994461670271,0.007017777730768697,0.008332983626394369,0.012731236121204621,0.00852952293037561,0.004749757042837783,0.006424543192022453,0.011477008122011814,0.008758971881207738,0.005072139833405759,0.006698020497870959,0.011638640925192316,0.009300080915152418,0.005537467636607446,0.007076452735887603,0.011868158092783892,0.010614414593955583,0.00938873809169768,0.012079465657587362,0.015356651769207991,0.010613483906947427,0.008745590698178695,0.01034037394269563,0.014118663329808332,0.009840490221012195,0.006715701803383352,0.008065411226965446,0.012609005407347737,0.01028427811596286,0.006597375593781987,0.007967727682317509,0.012467251707951918,0.009306949186723026,0.005795113139782449,0.007285791185689911,0.012022159353296083,0.010626348131641504,0.009358555088529468,0.011995897512693749,0.015271432206238757,0.009913658498173031,0.007191771545631306,0.008488515386264701,0.012917968283289078,0.009419128420914186,0.006079049686842218,0.007516546090063491,0.01219289518507921,0.00956014397551883,0.006272705180964812,0.007683930429884243,0.012301849211114161,0.010515802785314067,0.009057181207232175,0.011156931233063456,0.014644722650303362,0.010593137809285764,0.006742950730361217,0.008079954862677412,0.012545099847345968,0.007980591556201736,0.004031669029048576,0.005636257980763576,0.011186668746794843,0.008988425280317066,0.005374918909679014,0.006944178728840915,0.01177714319278137,0.010196153684812269,0.007575392996648022,0.008844073050159948,0.013154794984381154,0.009430495214257616,0.005993890175557854,0.007444371242855317,0.012128213583560088,0.00949168228603413,0.006075710383801371,0.007512953943627338,0.012175834498815192,0.005590402796052069,0.0034906534772930924,0.0048544496607064985,0.011984403164849599,0.009755071826886745,0.006713414490770757,0.008065615699768132,0.012592115063292136,0.009395704536060324,0.00593111600315875,0.007396834321206594,0.01209667229598053,0.008714292151640915,0.005029413941713193,0.006673858640056191,0.011621279605951879,0.009227218000338345,0.005649372328875986,0.007163005227176637,0.011936935432052946,0.01007302456631895,0.007890613383093612,0.009156255761755865,0.013386013796822046
5,0.008863528061641656,0.005213036618315086,0.006816182990748794,0.011678123642792608,0.008709353729442629,0.00478848113004588,0.006467736955598801,0.01147466576497994,0.010273577525249248,0.00793345010407126,0.009197622001250585,0.013349159402919225,0.009743529445213688,0.006839966339241517,0.008162373808107807,0.012655598130612587,0.010089724978865592,0.007840635677768095,0.00909521662307546,0.013317065003038399,0.010607187570315408,0.007040835960077933,0.008344836412372452,0.012709423429192939,0.008511299941061586,0.004759539146850477,0.006427764770617627,0.01145333478681796,0.008740849005564922,0.005088107474569085,0.006704263328243835,0.011614851377345498,0.009264817187970984,0.005521515832526403,0.007056779445983572,0.01182797645709115,0.010578205217712185,0.00935540634207121,0.011989656026751535,0.015252055534115244,0.010571145456555237,0.008726137330499654,0.010300767969744547,0.014056525942238352,0.009803251499955664,0.006720470124253845,0.00806138822969607,0.012576839548071227,0.01021770492911672,0.006577856037196786,0.007942340733258708,0.012421936522905888,0.009268016772287441,0.005779534760001262,0.007264295452753955,0.011972781948472544,0.010583335922235313,0.009370380321872103,0.012044872903918575,0.01526609464634583,0.009863513090043158,0.007176019513570795,0.0084717436719879,0.012874193150773316,0.009466160753486287,0.006226662429454968,0.007634043273867735,0.012249856486541505,0.00952888493314889,0.006270426888637949,0.0076742986319107,0.012264334084676792,0.010473437769898225,0.00900376780009526,0.011024816957352378,0.014515541791247874,0.010528846963945,0.006723956285015627,0.00805550436587022,0.012497842353230565,0.007976865804013704,0.00403886227414781,0.0056427896114685586,0.011163104378079394,0.009051928408891954,0.0054683383110560955,0.00704691527806479,0.012024670363784854,0.010227308889603418,0.007662775301502452,0.008984083170477103,0.013646479507517639,0.009396048441708674,0.0059927314984125095,0.007435832036797865,0.012093851833529807,0.009452374225722777,0.006085899601805422,0.007513604153982431,0.012149213871477764,0.0055879446518686485,0.003501064193814766,0.004876516326320433,0.01213332070532455,0.009710135736048845,0.006703258121449261,0.008048547575690856,0.012549292023241548,0.009360250614413182,0.005931637644940038,0.0073899028215580935,0.012063371775076732,0.008670558294693946,0.005020372023205161,0.006660078370309334,0.011585387172712836,0.009185278913646195,0.005641534672657729,0.007149532840761998,0.011900018085392568,0.010025817165510036,0.007897072849902818,0.009155492752833668,0.013354461110640202
6,0.008968149069144287,0.005328377869848867,0.006973103893288212,0.012224011430069489,0.008835030421035544,0.00490438050193641,0.006631491795361768,0.012009309727615025,0.010327609024988159,0.008128055781003396,0.009470983406741174,0.014020014147878946,0.009797236492308146,0.006925985781159009,0.008303549246756073,0.013208133084526423,0.01015532047522746,0.008048440336708864,0.009381665884896034,0.013985053881225638,0.010688004346051102,0.007216264300607278,0.008569367928887643,0.013333252510535291,0.008581989941618911,0.004826277178841214,0.006543855529214804,0.011950040242445212,0.00883590192847688,0.0051894554019007,0.006848038961943411,0.012139485530651067,0.009329536127195535,0.005575559395714903,0.007163111429933513,0.01232602021744056,0.010642562568293282,0.009437526286330501,0.012158640323676613,0.015868065531726188,0.010618431915201457,0.008845169242306895,0.010531008948852614,0.014695450127929045,0.009899015961327053,0.0068835664962372265,0.00826759351480502,0.013155168602982716,0.010338985101779108,0.006716612529655451,0.008125633781337993,0.012982024672230575,0.009379073071095043,0.005911646801871763,0.00743688898708209,0.012519648292426726,0.010641774034146248,0.009484148483240543,0.012307204782325902,0.01597967875084058,0.00991968539526161,0.0072545852372696345,0.008610005466823873,0.01342815426827764,0.009612970316845295,0.006452320504649671,0.007893517985084295,0.012882945839841287,0.009615200369698844,0.006361121532219356,0.007827518482828736,0.01287380148798153,0.01053022886556712,0.00912160667505827,0.01127168814266088,0.015212125503171466,0.010621098923019703,0.006833352777045041,0.008222236058550178,0.013102057655863638,0.008085930574927595,0.004105739730165997,0.00576927547629879,0.011688724629080483,0.00918247001306539,0.00564214205530024,0.0072296910145744665,0.012489855041721648,0.010218520835397222,0.00781296298320073,0.009135519870015898,0.013900699297436472,0.00945218457026528,0.006040046299919108,0.007547634245384778,0.012656873245411744,0.009478735931024562,0.006195251121941335,0.007680502410928622,0.012761835587274254,0.0056185118035794535,0.0035203978019974214,0.00490234106131495,0.012230195772751983,0.009778942630609983,0.006798939136799321,0.00820114121408658,0.01312271051928072,0.009424784588550143,0.006003045921411647,0.0075175831067442675,0.012608877070205467,0.008723075893782076,0.005072225797338391,0.006767678476016901,0.012110497485251327,0.009241043291996081,0.005697147338881397,0.007262059077335293,0.012426997165815613,0.010072688384120206,0.00796832206262605,0.00928952398869273,0.013935888174140645
7,0.009103479370007933,0.005475176745858614,0.007106148910213509,0.01242233063867519,0.008958998391195953,0.005024185073809955,0.006750168834723839,0.012193711773853875,0.01037126042589568,0.008345350134198574,0.009725346184690878,0.014316076020327822,0.009855941000953333,0.007002721535120564,0.0083869864080781,0.013381301345665423,0.01020878380680857,0.008242900198208142,0.00960932890267124,0.01425928750699983,0.010705877514979941,0.007238336180916543,0.008605759224140279,0.013477977999276183,0.008668048045461724,0.0049022476824187085,0.006626164141353387,0.012128658549828046,0.008897078702298396,0.0053089385136131035,0.006963705226250586,0.012335938715299347,0.009460636709873118,0.005713907082462168,0.007288985871016943,0.012506695874220718,0.010661242301542589,0.009544170127767369,0.01246191114141755,0.01619046679907113,0.010616358198575152,0.009033175401461438,0.010922698380199877,0.015093852041082802,0.01006717356713062,0.007153705717131907,0.00852444228343963,0.013445951105507978,0.010580698819775466,0.00697983207729073,0.00837231256074372,0.013263452418444042,0.009577392817175737,0.00617531991063951,0.007679673367895285,0.012839371117625413,0.01065520176506937,0.009571495270045227,0.012544971509649346,0.016281177598268765,0.010022929857879783,0.007460988407061094,0.008798024922251365,0.013695539663243977,0.009732985143919336,0.00661834108845606,0.008055744407297765,0.013127845428678243,0.009665600357520338,0.006392254662204929,0.007864379170274218,0.01296895055184632,0.010534608866400527,0.009235133834704989,0.011591476784556168,0.01551677100224707,0.010754583776175431,0.006977134692366346,0.008359501340404326,0.013273848196342813,0.00816637687160457,0.0041461774637875015,0.005827101280992965,0.011767017530442658,0.009303411839288272,0.0057653332557965915,0.007332378865236199,0.01257167041878401,0.010251103237093747,0.007903573956785015,0.009222075632666141,0.013967715422087903,0.00951125381993895,0.006090963455443479,0.007601827247120969,0.012765056344003064,0.009534792348304053,0.006248264029768919,0.007735307097670072,0.012869449804456392,0.0057515886660003,0.0035609916313987153,0.0049465646705190896,0.012116411384770624,0.00985157473851109,0.006903589571322897,0.008309101763404556,0.01330938443647619,0.009482372674170424,0.006045433162491277,0.007568680269106379,0.0127493119750502,0.008778896410003076,0.0051077836499269875,0.006811036705053412,0.012242266082065852,0.009291983454577454,0.005721861375579261,0.0072987330205170125,0.012553734571190633,0.010125587010342375,0.008017381507980188,0.009352152233361046,0.014088707856632172
8,0.009266062482544916,0.005653357416744465,0.007251167994549361,0.01254321456152113,0.009101209772243482,0.00517849228180039,0.006878433948694537,0.012292225145524622,0.010391179820327097,0.008497128168550229,0.009902986055591818,0.014459963974299779,0.009893266764341045,0.007020622922999896,0.008405943023934985,0.01340936593980171,0.0102371783703051,0.008231147682554727,0.00959298726547176,0.014263145655620067,0.010691377129575498,0.007264994387977123,0.008632304684810955,0.013515594187861562,0.00871885290938235,0.004944024883342026,0.006660704894920886,0.012160745860498917,0.00894525673054234,0.005347607862620851,0.006995190993271905,0.012363191735734136,0.009708222365211901,0.006016202571441755,0.007550004283068594,0.01274639010235115,0.010641226105464831,0.009672538313585026,0.01285515802544212,0.016534779333168055,0.010586536639734846,0.009292772476833945,0.011596400389029423,0.01566468949489846,0.010146987952773714,0.007431794834231188,0.008784910086104119,0.013695795221241022,0.010698225991190047,0.007276320901617459,0.008648448721600591,0.013542227850117591,0.00969518762635943,0.006446075206451615,0.007911824460897403,0.013017090408538616,0.010638285101144885,0.009585363150004581,0.012573579232795281,0.016328166119807874,0.010131355936464366,0.007726595226302291,0.009035703477710749,0.013865779232215446,0.009863718289163638,0.0068789703268584326,0.008284949517262847,0.013297576833230622,0.009766643783323588,0.006541730846554405,0.007994739933625842,0.013059272952036169,0.010535241706641475,0.009637901695902368,0.012856138980887983,0.01641092744018491,0.010810059746252293,0.0071154745987574005,0.00848530530976153,0.013378777825161389,0.00827664204630871,0.0042129278940865504,0.005910045656601095,0.011816185995297695,0.009480986316728555,0.006003419878146625,0.007533410204816743,0.012719270431630422,0.010273317423203986,0.007749025243910165,0.009064461337980764,0.01385912650871372,0.009638081455014068,0.006260703295017855,0.007748864128715604,0.012871475540279856,0.009621228992105942,0.006361852231293088,0.007831701013204675,0.012939832154517427,0.005840163179657635,0.003583847373479186,0.004971288877570148,0.012063363147546052,0.009893231694174416,0.00695553831720969,0.008356998895549589,0.013350039960114427,0.009511575548300082,0.006052216442303078,0.007575359252849785,0.01274935562942201,0.008800874444961583,0.005105466059043989,0.006811187624087816,0.012239612191910358,0.009290714607616405,0.005687890380754061,0.007273250348845019,0.012529269250939324,0.01014527499009807,0.008039641812724228,0.009371463933252949,0.014102205070428033
9,0.00949932125283736,0.005818976243431703,0.007394012704844072,0.01263856751103752,0.009371341936972411,0.005375537382696126,0.007030266115455836,0.012391955335804509,0.010458865017407804,0.008642824995727206,0.010142321158184595,0.014628739418817288,0.009923747536408102,0.007024625849860804,0.008411516985220484,0.013412739974021242,0.010335667553906133,0.008279146908929053,0.00964245550826079,0.014294624817012203,0.01098447044805547,0.007387382607870366,0.008747781297747597,0.01358015316898606,0.008839379397843955,0.004946623359135399,0.006662233717618899,0.01216415274021008,0.009132665574922006,0.00535700434583013,0.00700433235572884,0.012366004764073553,0.01025463201286075,0.0064321186271488525,0.007908899328423648,0.013005315604660074,0.010782262726469066,0.009801451332410026,0.013248790323995986,0.016806927484471025,0.010741651823403,0.009510827157469938,0.012235715981635741,0.016103675240448614,0.010636264099286523,0.007638406668048489,0.008950492472888311,0.013785439986602178,0.011031542258952264,0.0075517588306372825,0.008901872361251884,0.013706216494011492,0.010274139656903764,0.006785844532440857,0.008196383455175461,0.01321728910021592,0.010760959321982903,0.009651795756778901,0.012761724401545533,0.016426641093833842,0.01026623946163836,0.00790079940634261,0.009206742356614568,0.01398030580100033,0.010266333778351275,0.0071799580932911935,0.008538560976102061,0.013469634295837543,0.010160809689552769,0.006724048138343025,0.008144676443555703,0.013159808115491264,0.010695460487387294,0.0100244301552204,0.014030424502400196,0.017379651472125394,0.010931670358234972,0.007229813012495349,0.008592334181305466,0.013461322957859774,0.008461694925058903,0.004286830135869384,0.006003040081507609,0.011898193607986364,0.00956192364938564,0.006098211256411872,0.007616693940949782,0.01277813796131126,0.010323852406237346,0.007934015835826747,0.009245973129088654,0.013993140683384735,0.009717667433777343,0.006343303890561444,0.007824685416704228,0.01292628672615652,0.009789711216147978,0.0066461254075427766,0.008079164082779342,0.01312602331797636,0.006031109978091641,0.0036382823482360924,0.005033329633520478,0.011956035685710804,0.00995991267962009,0.007084502795178579,0.00847545704088203,0.013437245360959166,0.009556937720048984,0.006084396416036812,0.007605463190849255,0.012771400745995533,0.008827028499854778,0.005110713922310096,0.006818248246121669,0.012243322453902,0.009328768132892329,0.005711753185106218,0.0072979463419994405,0.012550602440675436,0.010172184775281675,0.008050491687523562,0.009379465731737516,0.01411333653655061
10,0.009695601150232318,0.005947536695849682,0.007504524121697704,0.01270903499627348,0.009470586003676092,0.0054798144778202594,0.007116923022803912,0.012444122724794919,0.010651660368765524,0.008779624958559802,0.010389014473964973,0.014751387433149566,0.010232014560179288,0.007140374205673758,0.00851625932737776,0.013475864696785635,0.010481670667595349,0.008423612916771503,0.009802905692795828,0.01438770493166157,0.010978980690763859,0.007467100063275804,0.00882350044119729,0.013626129275479572,0.008840147014097079,0.004981470637350799,0.006695214654563505,0.01218472121343767,0.009126969903848217,0.005374335651149231,0.007018894188034048,0.012374383812124764,0.010597687431397464,0.006837878289627096,0.00826036118494969,0.01325516182615854,0.010672799173677684,0.009867121549791495,0.013473732266387818,0.016973022438960737,0.010642426706261497,0.009604991568370328,0.012536044636090383,0.01631039973932593,0.010672603803383753,0.007714509057257244,0.009024392742772244,0.013822038243449639,0.011022097018073196,0.007703420954108735,0.009043031890348604,0.013800579947384846,0.010382217090295286,0.006920390494822724,0.008317975080238581,0.013296520474726672,0.010717288693196016,0.00966579185976594,0.012817836643883834,0.016441000980847074,0.010543730358077716,0.008261510892272781,0.009608069871163612,0.014235705083114761,0.010505140696869406,0.007321710626400086,0.00867226707931266,0.013550751981526953,0.010303667326794405,0.006807245495230012,0.008221163131257384,0.013202944320412772,0.010624414425150311,0.010133099209536528,0.01429794718659671,0.017647385938943338,0.01098015115098862,0.007271151249951827,0.008633194942350202,0.013483926289893559,0.008541899198844337,0.004335249084276537,0.006055838492939944,0.01192196457399283,0.009864890837874516,0.006225145946564884,0.007724209726078598,0.012847749518402559,0.01052099327124033,0.008082189115817387,0.009406939165785803,0.01409050393823849,0.010047992597690597,0.006622496146294599,0.008067145678980767,0.013101978054334738,0.009996270655122668,0.006719665998971197,0.008143499799923905,0.013170223692890315,0.006157284160598425,0.003650935113888535,0.005049222494553386,0.011940985158211532,0.010236620798130392,0.007158400757230606,0.008524944321987108,0.013459460027281954,0.00961327689642727,0.006099110925826109,0.007619090487829698,0.012780529657007654,0.00890942724217132,0.005108387314293221,0.006816988411812664,0.012242982539665468,0.009460941866137699,0.005729448686252212,0.007314471818719944,0.012558141906188544,0.010171633827948863,0.008075750361949208,0.009406018812832656,0.01413754243481579
